season,date,game_pk,pitcher_id,lineup_ids,actual_k,exp_k,p_k_≥6.5
2024,2024-04-01,745277,663474,"680757,665926,608070,647304,671289,664314,657656,666310,677587",2,5.0615,0.255
2024,2024-04-01,745277,676106,"641487,677594,593871,571745,641598,663728,664034,686527,649966",1,5.0915,0.258
2024,2024-04-01,745437,502043,"680977,502671,669357,571448,575929,572761,672279,687363,691026",4,4.978,0.2295
2024,2024-04-01,745437,663362,"593428,665487,630105,592518,673490,595777,669134,666703,701538",7,5.1305,0.278
2024,2024-04-01,747218,661563,"650402,665742,592450,519203,519317,657077,683011,669224,665828",6,5.0435,0.2535
2024,2024-04-01,747218,669194,"606466,682998,666971,572233,592626,553993,672515,678489,672695",2,5.0775,0.2495
2024,2024-04-01,746170,676775,"808982,664774,624585,656305,527038,608596,624424,642731,573262",6,4.992,0.2415
2024,2024-04-01,746170,572020,"605141,660271,518692,669257,571970,606192,681546,621035,666158",5,5.0265,0.253
2024,2024-04-02,746009,686973,"571657,666135,621439,596146,668885,622534,467793,650489,543877",4,5.0755,0.2495
2024,2024-04-02,746009,596001,"686217,661388,592885,642715,641343,656555,686554,668930,694192",4,5.1005,0.256
2024,2024-04-02,747057,679525,"672580,677951,686469,521692,624428,592669,641658,666023,664728",5,4.9455,0.236
2024,2024-04-02,747057,608344,"683002,668939,623993,663624,656811,656775,676059,681297,643393",3,5.1615,0.267
2024,2024-04-02,745598,668933,"663697,666181,687952,600869,641584,682829,668715,605361,663886",5,4.9805,0.236
2024,2024-04-02,745598,605513,"656941,607208,547180,664761,681082,592206,669016,679032,596117",7,5.042,0.2525
2024,2024-04-02,746086,542881,"543685,543305,545361,621493,592273,593934,694384,681351,687263",5,5.029,0.241
2024,2024-04-02,746086,666200,"650333,605137,669394,650559,665862,641313,660821,681146,663743",5,5.055,0.249
2024,2024-04-02,745111,571760,"543760,608369,694497,666969,694671,665120,641680,677649,665750",7,5.0945,0.2585
2024,2024-04-02,745111,621107,"650490,623912,668227,670623,642708,678554,642350,676609,650907",5,5.0015,0.2375
2024,2024-04-02,746898,607536,"453568,663898,666134,592178,676701,553869,678662,669911,686668",2,4.9855,0.2375
2024,2024-04-02,746898,665871,"663538,673548,643565,666624,670156,683737,643265,663611,665804",5,5.0215,0.254
2024,2024-04-02,746814,625643,"660670,645277,663586,621566,542303,594807,671739,606115,518595",5,5.034,0.2445
2024,2024-04-02,746814,676979,"643217,660162,673357,657757,683734,657557,607680,670032,455117",8,5.0705,0.255
2024,2024-04-02,746411,621244,"543807,665489,666182,662139,643338,672386,676391,643396,595281",2,4.978,0.2335
2024,2024-04-02,746411,664285,"514888,670541,663656,608324,676694,547989,676801,665161,605170",5,5.0615,0.243
2024,2024-04-02,745680,678394,"624512,641933,646240,596115,665839,671213,678882,677800,670174",6,5.0285,0.249
2024,2024-04-02,745680,622072,"676116,680869,668709,605204,664913,667670,669127,671732,687231",7,4.9585,0.2435
2024,2024-04-02,745273,669456,"680757,665926,608070,647304,671289,686823,666310,595978,677587",9,5.0545,0.2545
2024,2024-04-02,745273,622491,"641487,677594,593871,571745,641598,663728,664034,686527,668942",7,5.05,0.248
2024,2024-04-02,745439,571945,"680977,502671,575929,571448,671056,669357,687363,672279,691026",4,5.059,0.252
2024,2024-04-02,745439,506433,"593428,665487,630105,592518,673490,595777,669134,642180,701538",6,5.039,0.248
2024,2024-04-02,747220,641482,"650402,665742,592450,519203,519317,657077,683011,665828,669224",2,5.083,0.2535
2024,2024-04-02,747220,668678,"686826,607054,666971,572233,553993,672515,678489,664983,672695",6,5.0725,0.2545
2024,2024-04-02,746169,657277,"808982,656305,666149,624424,527038,642731,664774,672275,605113",5,5.084,0.256
2024,2024-04-02,746169,518489,"605141,660271,518692,669257,571970,606192,681546,500743,571771",1,5.0925,0.259
2024,2024-04-03,747059,666142,"672580,677951,686469,521692,641658,592669,624428,666023,664728",7,4.9905,0.2375
2024,2024-04-03,747059,669203,"683002,668939,663624,656775,676059,669720,681297,543510,602104",3,5.0585,0.2495
2024,2024-04-03,745114,543135,"543760,608369,608671,666969,665120,669701,677649,641680,665750",8,5.087,0.253
2024,2024-04-03,745114,650644,"650490,650907,668227,670623,680700,623912,676609,678554,642350",8,5.0455,0.244
