game_pk,date,season,side,pitcher_id,k_actual,lineup_ids
746407,2024-04-03,2024,home,664299,3,"514888,670541,676694,666197,673237,572138,676801,665161,643289"
746163,2024-04-03,2024,away,690986,4,"808982,664774,624585,624424,656305,642731,573262,672275,605113"
746163,2024-04-03,2024,home,607192,7,"605141,660271,518692,669257,606192,571970,571771,621035,500743"
745844,2024-04-04,2024,away,663554,4,"592192,679529,628451,682985,663837,690993,608348,570482,656716"
745844,2024-04-04,2024,home,605288,3,"607043,596019,624413,553882,683146,516782,643446,621438,664056"
745843,2024-04-04,2024,away,666159,3,"678009,679529,681481,682985,592192,690993,656716,595879,668670"
745843,2024-04-04,2024,home,676130,6,"607043,596019,624413,683146,516782,621438,682626,664056,670097"
744870,2024-04-04,2024,away,527048,6,"665833,668804,663647,669261,656582,642133,680779,669707,572191"
744870,2024-04-04,2024,home,680686,3,"682928,657041,608841,608336,656180,608385,702358,671277,696285"
745928,2024-04-04,2024,away,676440,9,"680757,665926,608070,647304,671289,681807,657656,666310,677587"
745928,2024-04-04,2024,home,641154,2,"666397,666135,621439,596146,621043,467793,622534,650489,543877"
745200,2024-04-04,2024,away,677960,6,"650333,605137,669394,665862,650559,660821,641313,541645,660644"
745200,2024-04-04,2024,home,458681,7,"687363,502671,571448,671056,669357,691023,676475,691026,672279"
746327,2024-04-04,2024,away,647336,2,"643217,660162,673357,657757,683734,669699,666150,670032,686676"
746327,2024-04-04,2024,home,607625,3,"672580,641658,686469,521692,680118,676369,592669,624428,664728"
745764,2024-04-05,2024,away,579328,7,"543807,665489,666182,457759,595281,676391,661531,662139,643396"
745764,2024-04-05,2024,home,573186,6,"650402,665742,592450,519317,519203,683011,657077,542932,624431"
746497,2024-04-05,2024,away,676664,1,"680869,605204,667670,669127,664913,647351,668709,676116,669397"
746497,2024-04-05,2024,home,669373,9,"656716,681481,679529,682985,592192,570482,608348,595879,678009"
746897,2024-04-05,2024,away,676272,3,"605141,660271,518692,666211,571970,606192,681546,621035,666158"
746897,2024-04-05,2024,home,543294,4,"664023,673548,641355,666624,621020,683737,663538,663611,543228"
746576,2024-04-05,2024,away,641793,5,"650490,623912,668227,670623,642708,666163,676609,642350,664040"
746576,2024-04-05,2024,home,596295,7,"595909,663898,666134,592178,641857,553869,678662,660707,686668"
745524,2024-04-05,2024,away,680570,7,"683002,668939,623993,663624,656811,656775,676059,669720,602104"
745524,2024-04-05,2024,home,683003,7,"665833,668804,663647,669261,457705,642133,680779,669707,572191"
745361,2024-04-05,2024,away,656302,7,"593428,665487,630105,592518,673490,640492,669134,688363,701538"
745361,2024-04-05,2024,home,663855,5,"808982,527038,624585,624424,656305,642731,596103,672275,605113"
746733,2024-04-05,2024,away,500779,4,"596019,624413,682626,683146,516782,621438,643446,664056,670097"
746733,2024-04-05,2024,home,668881,6,"663697,669352,687952,600869,641584,682829,669289,666181,571912"
744874,2024-04-05,2024,away,605400,4,"656941,607208,547180,592663,664761,681082,592206,669016,679032"
744874,2024-04-05,2024,home,571578,6,"682928,657041,608385,608841,608336,660688,696285,671277,702358"
747143,2024-04-05,2024,away,674072,5,"606466,682998,666971,572233,592626,553993,672515,677942,664983"
747143,2024-04-05,2024,home,675911,4,"660670,645277,663586,621566,542303,672284,671739,657088,518595"
746328,2024-04-05,2024,away,607200,4,"643217,660162,669699,607680,683734,543257,657557,670032,686676"
746328,2024-04-05,2024,home,663903,4,"672580,677951,686469,680118,666023,676369,624428,592669,664728"
745033,2024-04-05,2024,away,686613,3,"643289,572138,663656,666197,673237,676801,547989,665161,676694"
745033,2024-04-05,2024,home,674003,4,"679822,677649,694671,608671,694497,665120,641680,669701,665750"
746007,2024-04-05,2024,away,669302,7,"641487,677594,593871,571745,641598,663728,664238,669392,649966"
746007,2024-04-05,2024,home,642547,7,"694192,661388,592885,642715,686554,656555,686217,641343,668930"
746249,2024-04-05,2024,away,676710,5,"680776,646240,622569,807799,641933,671213,665839,678882,624512"
746249,2024-04-05,2024,home,656288,4,"543685,694384,545361,621493,592273,593934,666160,681351,687263"
746498,2024-04-06,2024,away,621112,4,"676116,680869,668709,667670,664913,605204,669127,671732,669397"
746498,2024-04-06,2024,home,628317,3,"678009,679529,681481,682985,592192,690993,570482,595879,608348"
745926,2024-04-06,2024,away,471911,6,"680757,665926,608070,647304,671289,686823,666310,681807,677587"
745926,2024-04-06,2024,home,657746,7,"666397,621043,666135,621439,596146,467793,670242,680777,650489"
745197,2024-04-06,2024,away,669432,3,"650333,605137,669394,650559,665862,641313,541645,656896,542194"
745197,2024-04-06,2024,home,571927,3,"680977,502671,571448,671056,669357,672279,676475,691026,687363"
746896,2024-04-06,2024,away,808967,8,"605141,660271,518692,606192,571970,681546,621035,500743,605131"
746896,2024-04-06,2024,home,696136,7,"664023,673548,641355,666624,621020,683737,663538,670156,643565"
745522,2024-04-06,2024,away,669330,3,"683002,668939,669169,623993,676059,656811,656775,602104,643393"
745522,2024-04-06,2024,home,663559,1,"665833,668804,656582,669261,658668,642133,669707,680779,663647"
744873,2024-04-06,2024,away,624133,4,"656941,607208,547180,592663,664761,681082,592206,669016,679032"
744873,2024-04-06,2024,home,663623,5,"657041,608841,608336,660688,608385,545121,702358,592696,671277"
746731,2024-04-06,2024,away,622663,7,"607043,596019,624413,683146,516782,621438,643446,664056,553882"
746731,2024-04-06,2024,home,607259,6,"663697,669289,687952,669352,641584,682829,668715,656413,663886"
745031,2024-04-06,2024,away,641585,4,"514888,670541,663656,608324,673237,676801,547989,665161,572138"
745031,2024-04-06,2024,home,592351,3,"543760,608369,694671,666969,694497,665120,641680,669701,665750"
745766,2024-04-06,2024,away,592332,0,"543807,665489,666182,457759,596129,676391,676914,672386,624415"
745766,2024-04-06,2024,home,657376,4,"650402,665742,592450,519203,519317,657077,683011,669224,665828"
746329,2024-04-06,2024,away,623167,4,"643217,660162,683734,657757,607680,657557,672820,666150,686676"
746329,2024-04-06,2024,home,608379,8,"672580,677951,686469,521692,669004,676369,680118,641658,664728"
746006,2024-04-06,2024,away,682243,7,"641487,677594,593871,571745,641598,663728,664238,649966,670042"
746006,2024-04-06,2024,home,669084,5,"686217,661388,592885,642715,656555,687401,596142,668930,694192"
747140,2024-04-06,2024,away,694297,7,"606466,682998,666971,572233,607054,592626,672515,664983,677942"
747140,2024-04-06,2024,home,608331,5,"660670,645277,663586,621566,542303,671739,606115,518595,672284"
746575,2024-04-06,2024,away,641302,4,"650490,664040,668227,670623,680700,623912,642708,666163,642350"
746575,2024-04-06,2024,home,663372,10,"453568,663898,666134,553869,641857,595909,678662,669911,686668"
745359,2024-04-06,2024,away,650633,4,"593428,665487,630105,592518,673490,640492,669134,642180,701538"
745359,2024-04-06,2024,home,676775,1,"808982,527038,624585,624424,656305,642731,573262,608596,605113"
746248,2024-04-06,2024,away,676477,4,"680776,624512,646240,641933,807799,671213,677800,657136,665839"
746248,2024-04-06,2024,home,672282,12,"543685,694384,545361,621493,543305,681351,650859,666160,687263"
745523,2024-04-07,2024,away,665152,6,"683002,668939,663624,623993,676059,669720,656775,543510,622761"
745523,2024-04-07,2024,home,594835,4,"665833,668804,663647,669261,656582,642133,658668,669707,680779"
744871,2024-04-07,2024,away,650911,1,"656941,607208,547180,592663,664761,592206,593160,681082,669016"
744871,2024-04-07,2024,home,669022,6,"696285,608385,657041,608336,608841,656180,545121,702358,683083"
747141,2024-04-07,2024,away,669194,7,"606466,682998,666971,572233,553993,664983,677942,672515,621028"
747141,2024-04-07,2024,home,519242,6,"660670,645277,663586,621566,542303,671739,606115,672284,644433"
745765,2024-04-07,2024,away,670102,5,"543807,665489,666182,672386,624415,676391,676914,643396,595281"
745765,2024-04-07,2024,home,661563,8,"650402,665742,592450,519203,519317,657077,683011,669224,665828"
746734,2024-04-07,2024,away,640455,6,"607043,596019,624413,682626,683146,516782,621438,643446,664056"
746734,2024-04-07,2024,home,671096,4,"663697,668715,687952,600869,666181,682829,641584,571912,605361"
746493,2024-04-07,2024,away,671212,6,"687231,680869,668709,671732,664913,605204,676116,669127,669397"
746493,2024-04-07,2024,home,656427,5,"628451,682985,679529,663837,690993,592192,570482,656716,608348"
746330,2024-04-07,2024,away,676979,5,"543257,660162,657757,683734,643217,666150,672820,657557,686676"
746330,2024-04-07,2024,home,679525,3,"672580,677951,624428,521692,680118,669004,592669,666023,664728"
