game_pk,date,season,side,pitcher_id,k_actual,lineup_ids,exp_ks,p_over,p10,p90
746168,2024-03-30,2024,home,808967,5,"605141,660271,518692,669257,571970,621035,681546,518792,666158",4.8606,0.0,3.0,7.0
745278,2024-03-30,2024,away,676710,7,"641933,807799,596115,666915,677800,678882,665839,622569,624512",4.7905,0.0,2.0,7.0
745278,2024-03-30,2024,home,669302,8,"641487,677594,593871,571745,663728,664034,670042,649966,668942",4.8557,0.0,3.0,7.0
747062,2024-03-31,2024,away,672282,7,"543685,694384,545361,621493,592273,650859,681351,543305,687263",4.8507,0.0,3.0,7.0
747062,2024-03-31,2024,home,669330,7,"683002,668939,663624,623993,669720,602104,656775,656811,643393",4.78565,0.0,2.0,7.0
745602,2024-03-31,2024,away,519242,7,"660670,645277,663586,621566,542303,594807,671739,606115,518595",4.7803,0.0,2.0,7.0
745602,2024-03-31,2024,home,624133,7,"656941,607208,664761,592663,592206,593160,681082,669016,679032",4.8395,0.0,2.0,7.0
746739,2024-03-31,2024,away,663623,4,"682928,657041,645302,608841,608336,660688,592696,683083,702358",4.8368,0.0,2.0,7.0
746739,2024-03-31,2024,home,607259,3,"663697,666181,687952,600869,641584,682829,668715,605361,571912",4.837,0.0,2.0,7.0
745115,2024-03-31,2024,away,592332,6,"543807,665489,457759,662139,661531,676391,676914,624415,643396",4.85445,0.0,2.0,7.0
745115,2024-03-31,2024,home,542888,1,"668853,678554,680700,623912,670623,642708,642350,666163,676609",4.80965,0.0,2.0,7.0
746090,2024-03-31,2024,away,663559,2,"656582,668804,663647,572191,669261,669707,665833,675961,641511",4.84055,0.0,2.0,7.0
746090,2024-03-31,2024,home,669432,6,"650333,605137,669394,650559,665862,641313,681146,624503,542194",4.83665,0.0,2.0,7.0
745845,2024-03-31,2024,away,607067,2,"686217,661388,592885,642715,596142,656555,687401,668930,694192",4.8792,0.0,2.0,7.0
745845,2024-03-31,2024,home,656731,4,"607043,596019,624413,643446,516782,682626,683146,621438,553882",4.784,0.0,2.0,7.0
746332,2024-03-31,2024,away,641927,1,"666397,666135,622534,571657,670242,467793,650489,680777,668885",4.7998,0.0,2.0,7.0
746332,2024-03-31,2024,home,663903,10,"679845,677951,686469,521692,641658,676369,624428,666023,680118",4.8587,0.0,3.0,7.0
746815,2024-03-31,2024,away,656427,7,"628451,679529,608348,682985,592192,690993,663837,595879,656716",4.8508,0.0,2.0,7.0
746815,2024-03-31,2024,home,607200,7,"643217,660162,673357,657757,683734,669699,657557,607680,686676",4.8433,0.0,2.0,7.0
746413,2024-03-31,2024,away,657376,5,"650402,665742,592450,519203,519317,657077,542932,624431,665828",4.78025,0.0,2.0,7.0
746413,2024-03-31,2024,home,641585,5,"514888,670541,663656,608324,673237,547989,676801,665161,643289",4.76595,0.0,2.0,7.0
745035,2024-03-31,2024,away,696136,6,"664023,673548,641355,663611,621020,683737,663538,643565,543228",4.82575,0.0,2.0,7.0
745035,2024-03-31,2024,home,592351,2,"543760,694671,673962,666969,669701,668800,665120,694497,665750",4.8074,0.0,2.0,7.0
745683,2024-03-31,2024,away,471911,3,"680757,665926,608070,647304,686823,657656,666310,664314,672356",4.7947,0.0,2.0,7.0
745683,2024-03-31,2024,home,621112,3,"665923,668709,680869,664913,605204,687231,669127,671732,647351",4.7963,0.0,2.0,7.0
747222,2024-03-31,2024,away,663372,4,"678662,666134,660707,641857,663898,669911,686668,595909,607732",4.79635,0.0,2.0,7.0
747222,2024-03-31,2024,home,694297,6,"682998,606466,666971,572233,592626,553993,664983,571466,672695",4.81565,0.0,2.0,7.0
745279,2024-03-31,2024,away,676477,8,"680776,646240,596115,671213,807799,641933,677800,678882,624512",4.82565,0.0,2.0,7.0
745279,2024-03-31,2024,home,682243,6,"641487,677594,593871,571745,664034,664238,670042,649966,664874",4.76795,0.0,2.0,7.0
745438,2024-03-31,2024,away,641726,1,"808982,605113,664774,596103,682641,624424,642731,672275,666149",4.78025,0.0,2.0,7.0
745438,2024-03-31,2024,home,650633,6,"642180,640492,666703,592518,673490,595777,669134,688363,701538",4.7835,0.0,2.0,7.0
746166,2024-03-31,2024,away,571927,3,"680977,502671,669357,571448,575929,676475,672279,687363,691026",4.85125,0.0,3.0,7.0
746166,2024-03-31,2024,home,694813,6,"605141,660271,518692,606192,621035,571970,681546,666158,605131",4.7872,0.0,2.0,7.0
746899,2024-04-01,2024,away,641712,2,"453568,663898,666134,592178,641857,553869,678662,660707,686668",4.7915,0.0,2.0,7.0
746899,2024-04-01,2024,home,684007,9,"664023,673548,641355,663611,621020,683737,663538,643565,543228",4.8291,0.0,2.0,7.0
